INC;Código;Descrição;Quantidade;Valor Total LÌquido;% Lucratividade;Lucro;
T;121956;FEIJAO KICALDO RAJADO 1KG ;298;3.337,52;22,17;740,09;
F;101862;MANGA TOMY KG;293,08;2.816,43;33,78;951,32;
F;21793;FOLHEADO CAMARAO UN ;293;2.048,07;46,22;946,67;
T;101632;REFR PO FRISCO MANGA 25G ;293;271,38;6,19;16,8;
F;24406;REFR PO TANG LARANJA 18G;292;305,25;21,5;65,63;
F;16112;PAO DE FORMA TRAD PANADORO 500G ;292;2.479,08;20;495,73;
F;16278;TAMBAQUI BDJ S/ ESPINHA KG;290,41;9.580,70;40,77;3.905,59;
F;22323;COCA COLA NS 200ML ;290;577,1;31,71;182,98;
F;108590;REFRI COCA COLA ZERO 1,5L ;290;1.832,10;14,32;262,38;
F;101813;PELE BOV KG ;289,23;1.120,84;20,6;230,92;
F;100570;CHICLETES TRIDENT MOR 8G ;289;625,11;29,85;186,59;
F;20920;TAMBAQUI ESPINHACO KG;287,86;1.724,32;57,53;991,98;
F;22820;BISC AMORI RECH CHOCOLATE 125G ;287;1.066,73;27,44;292,74;
F;12222;MIX REGIONAL ;286,96;4.304,41;46,74;2.011,87;
F;123948;REFRI SPRITE LT 350ML ;286;912,24;21,71;198,07;
F;101600;BEB LACTEA ITALAC KINHO CHOC TP 200ML ;284;507,16;31,1;157,73;
F;18950;PAO DE ALHO DO DIDI 280G ;284;4.203,16;28,84;1.212,19;
F;10700;DROPS HALLS MENTA ;284;423,16;28,39;120,15;
F;103753;SABAO BARRA ECONOMICO 200G ;284;663,16;28,31;187,72;
F;24407;REFR PO TANG UVA 18G;284;281,16;17,09;48,05;
F;19938;REFRI MAGISTRAL 2L;282;1.428,68;26,43;377,62;
F;108111;SUCO PRONTO JANDAIA GOIABA 200ML ;281;488,69;36,03;176,07;
F;21198;BANANA FRITA SALGADA 70G ;281;1.629,19;33,23;541,31;
F;122706;CAFE 3 CORACOES EXTR FORT 250G ;281;2.937,39;13,68;401,84;
F;100285;MAIONESE QUERO SCH 200G ;280;847,1;27,09;229,52;
F;115533;AMENDOIM DORI S/PELE 70G ;279;1.058,21;25,98;274,94;
F;19703;REFRI MAG GOLD PET 2L ;279;1.412,71;23,72;335,07;
F;14160;PAO DE FORMA PULLMAN TRAD 400G ;279;2.891,21;22,67;655,53;
F;111621;COLORAU DUBOM 100G ;278;470,12;27,65;130;
F;113070;GOMA DORI GOMETS FRUT SORT 32G ;277;383,73;39,38;151,13;
F;10032;BISC RECH BONO MOR 126G ;277;939,41;21,23;199,4;
F;13251;BATATA DOCE ROXA KG;276,69;2.050,00;28,61;586,45;
F;12725;FOSFOROS ARGOS UN;276;273,24;41,89;114,45;
F;20492;MR. DIN CHICLETE ;276;1.091,24;31,93;348,4;
F;16023;REFR MID LARANJA DOCE 20G ;276;273,24;29,47;80,52;
F;121246;SABAO PO OMO LAVAGEM PERF SCH 400G ;275;2.429,25;25,58;621,37;
F;19354;BISC RENATA WAFER CHOC 115G ;275;686,15;24;164,68;
F;20677;BISC VITARELLA DELICITA CRISTAL 414G ;275;1.922,25;22,42;430,98;
T;22041;FARINHA D`AGUA AZEVEDO 1KG ;274;1.091,76;18,23;199,05;
F;106833;RACAO PEDIGREE P/CAO FILHO CAR 100G ;272;846,98;28,82;244,09;
F;13407;CHOCO SNICKERS ORIG CARAMELO 45G ;272;989,88;24,42;241,73;
F;121774;MANTEIGA CABECA DE TOURO PT 200G ;272;4.657,28;24,09;1.121,74;
F;115087;CARNE DE SOL KG ;271,31;10.885,73;39,24;4.271,40;
F;101252;BEB LACTEA FAZENDINHA MOR 300G ;271;1.081,29;24,33;263,05;
T;121029;BISC RECH RENATA DIVERTIX MOR 112G ;271;552,29;23,35;128,97;
F;121019;REFRI FANTA LARANJA 200ML ;271;571,39;20,59;117,65;
F;21987;CARVAO VEGETAL 4 KG;270;5.098,30;37,58;1.915,77;
F;101584;REFRI HYDRO LIMAO 510ML ;270;911,8;30,75;280,34;
F;104854;RACAO PEDIGREE P/CAO FILHO FGO MOLHO SCH 100G ;269;855,41;27,72;237,13;
F;104262;SUCO PRONTO DEL VALLE LAR PET 600ML ;269;800,58;21,6;172,92;
T;24832;CREME DE LEITE  BENDITO 200G ;269;791,11;11,89;94,08;
F;19799;SALG CHEETOS BOLA 37G ;268;963,12;25,36;244,29;
F;18683;REFRI FLESH LARANJA 2L;268;1.352,32;22,74;307,49;
F;102615;CR DENTAL COLGATE MAX PROT 180G ;268;1.676,04;12,76;213,92;
F;15695;PREST GILLETTE ULTRA FIXO AZUL UN ;267;953,73;37,4;356,72;
F;23165;MARGARINA C/SAL PRIMOR 250G ;267;1.065,33;30,23;322,02;
F;14389;COMPOSTO LACTEO ITAMBE GOODY 400G ;267;2.851,33;11,53;328,78;
F;106483;ISQUEIRO BIC MAXI UN ;266;1.541,22;29,95;461,66;
F;14867;SABAO PO ALA ERVA DOCE SCH 500G ;266;1.384,16;28,68;397,01;
F;100806;LEITE PO ITAMBE INT SCH 400G ;266;4.401,34;23,75;1.045,47;
T;19563;MAC INST MARATA GALINHA 85G ;266;302,3;0,93;2,8;
F;15006;CORACAO FGO TEMP  KG ;265,91;10.962,48;42,89;4.702,08;
T;19101;MAC INST MARATA CARNE 85G ;265;288,81;-2,83;-8,18;
F;21477;SABAO EM PO LAVANDA JAPIIM 500G ;264;740,86;26,28;194,66;
F;123939;SALS HOT DOG NOBRE KG ;262,86;3.298,53;11,37;375,18;
F;15625;LAVA ROUPAS DIAMANTE PLUS 400G ;260;900,06;9,76;87,86;
F;101322;FOCCACIA UND ;259;1.680,91;48,8;820,3;
F;20495;MR. DIN MARACUJA ;259;1.023,91;31,5;322,55;
F;116027;CARVAO ASSADOR 5KG ;259;6.331,01;29,06;1.839,94;
F;101236;BEB LACTEA FAZENDINHA SORT SCH 600G ;259;1.231,91;27,82;342,69;
F;112842;SAB ALBANY HOM CONT ODOR 85G ;258;675,22;36,04;243,35;
F;16115;PAO DE MASSA FINA 300G ;258;1.674,42;22,63;378,92;
T;100864;CREME DE LEITE ITAMBE LT 300G ;258;1.577,37;14,82;233,81;
F;119425;GOMA DE MANDIOCA AMAZONICA 500G ;257;1.153,93;26,14;301,66;
F;10426;SABAO PO HIPER PLUS FLORAL 500G ;256;776,34;25,33;196,68;
F;18452;CALABRESA NATUCARNE KG ;255,25;6.076,59;13,47;818,56;
F;101575;AGUA MIN SANTA CLAUDIA 350ML ;255;429,95;50,14;215,56;
F;20365;MR. DIN ACAI ;255;997,95;30,5;304,42;
F;118736;PATE SADIA PRES 100G ;255;909,2;24,15;219,58;
F;14703;LING TOSC PERDIGAO KG ;254,84;3.981,96;23,4;931,69;
F;18684;REFRI FLESH UVA 2L;254;1.298,96;24,08;312,83;
F;118639;PAMONHA UN;253,15;1.688,10;26,3;443,92;
F;19914;ESFIRRA DE FRANGO COM PALMITO UN ;252;1.383,48;47,18;652,68;
F;104354;BEB LACTEA FAZENDINHA MOR 500G ;252;1.406,98;26,59;374,08;
F;11270;REFRI COCA COLA S/ACUCAR 200ML ;252;329,78;25,43;83,85;
F;122019;ENERG MONSTER JUICE MONGO LOCO 473ML ;252;2.199,48;13,28;292,05;
F;101570;AGUA MIN SANTA CLAUDIA 500ML ;251;499,49;45,26;226,04;
F;21934;CAFE C/ LEITE NESTLE ;249;1.608,01;30,97;497,93;
F;108132;CHOC LACTA EXT CHOC BIS 45G ;249;782,01;25,78;201,63;
F;101243;BEB LACTEA FAZENDINHA MOR 150G ;249;620,01;21,22;131,59;
F;18674;CERV IMPERIO PILSEN LT 350ML ;249;784,51;16,95;132,97;
F;23695;FARINHA MAND. DAGUA SO GRAOS 1KG ;248;1.707,33;27,95;477,25;
T;10159;BISC CREAM CRACKER HILEIA  400G ;247;1.764,03;25,46;449,1;
F;23699;FEIJAO VERDE UN ;246;489,54;68,94;337,49;
F;13325;PIRULITO DIPLOKO MONSTERS NEON 10G;246;644,14;35,97;231,71;
F;23857;PIRULITO LOLLIPOPS 31G ;245;732,55;22,3;163,33;
F;108594;REFRI GUAR ANTARCTICA ZERO 2L ;245;1.677,05;16,26;272,71;
F;18996;SACO P/LIXO ECONOMICO 100L C/5UN ;244;1.068,56;30,47;325,55;
F;101578;REFRI YARA CITRUS PET 350ML ;244;715,06;26,75;191,27;
F;18685;REFRI FLESH COLA 2L;244;1.231,06;23,97;295,08;
F;110739;CERV BOHEMIA LN 355ML ;244;1.217,56;19,19;233,61;
F;100725;CAFE KIMIMO 100G ;243;1.073,37;28,24;303,12;
F;120007;SACO P/LIXO ECOFORTE 30L ;242;1.092,28;30,07;328,41;
F;16876;DONUTS UN ;240;1.077,60;55,68;600;
F;10697;DROPS HALLS CEREJA 28GR ;240;411,6;33,2;136,65;
F;122708;CAFE 3 CORACOES TRAD 250G ;240;2.505,22;12,27;307,4;
F;101721;REFRI ORANGE FRUIT 2L ;239;1.216,61;25,47;309,92;
F;22832;BISC AMORI RECH CHOC 71,2G ;238;545,02;29,08;158,5;
F;24279;FARINHA OVINHA GRAO REAL 1KG ;238;2.749,62;27,29;750,41;
F;22040;REFRI TETE COLA 1,5L;238;949,62;27,07;257,11;
F;123460;SUCO PRONTO DEL VALLE FRESH UVA 1,5L ;238;1.187,62;17,18;204;
T;19953;MARGARINA 65% VIGOR COM SAL - 250G ;237;1.182,63;19,07;225,51;
F;10427;SABAO PO HIPER PLUS LAVANDA 500G ;236;724,34;25,93;187,85;
F;20331;CHICLETE TRIDENT MAX MENTABERRY 16,5G ;236;698,64;22,07;154,19;
F;14864;OVO BRANCO EMBALADO SAO PEDRO C/30 ;235;5.815,65;24,07;1.399,61;
F;118164;PATE SADIA PEITO PERU DEF 100G ;235;798,65;20,14;160,87;
T;21229;LEITE PO INTEGRAL VIT LT 400G ;235;3.462,65;18,16;628,67;
F;111140;SALGADINHO FESTA 100UND ;234;8.762,66;63,67;5.579,46;
T;121081;SABAO BARRA GUAMA 500G ;234;1.449,66;32,84;476,01;
F;22476;X-SALADA ;233;2.560,67;53,6;1.372,60;
F;23411;CHICLETS ADAMS TUTTI FRUTTI ;233;58,25;30,2;17,59;
F;15886;TONICA  ANTARTICA S/ACUCAR LT 350ML ;233;813,17;18,99;154,38;
F;101715;REFRI GURY LARANJA 2L;233;1.235,17;17,85;220,53;
F;15191;SALSICHA ITALLI KG ;232,78;2.547,85;23,33;594,51;
T;106965;BATATA RUFFLES ORIG 57G ;232;1.714,18;27,56;472,35;
F;116215;CHOC LACTA LAKA OREO 20G ;232;585,18;26,79;156,79;
F;110019;BISC BAUDUCCO COOKIES CHOC ORIG 100G ;232;1.564,68;24,65;385,77;
F;18670;CAFEZINHO UN ;231;113,19;40,82;46,2;
T;15252;GUARANA CHP ANTARCTICA PET 200ML ;231;451,29;36,99;166,95;
T;113899;FOLHA ALUM WYDA 45X4MT ;231;1.545,69;30,74;475,08;
F;20326;CHOC BIS XTRA BLACK 45G ;231;708,79;27,28;193,35;
F;100693;CAFE SANTA CLARA 100G ;231;1.071,69;23,81;255,2;
F;16608;REFR PO FRISCO MORAN/IOGUR 25G ;231;212,49;23,2;49,31;
F;21301;MANTEIGA C/SAL TOURINHO PT 200G ;231;3.198,69;21,36;683,08;
F;101709;REFRI GURY COLA 2L;231;1.238,19;17,28;213,92;
F;116257;PANO DE CHAO ITATEX BCO 42X62CM ;230;1.762,05;30,62;539,56;
T;100873;LTE COND ITAMBE LT 395G ;230;1.500,70;14,2;213,15;
