INC;Código;Descrição;Quantidade;Valor Total LÌquido;% Lucratividade;Lucro;
F;113848;PILHA PANASONIC AA 4UN ;170;1.319,30;51,26;676,21;
F;12487;POLPA DE MANGA DE 100G ;170;434,7;38,14;165,77;
F;101124;BISC WAFER NESTLE PRESTIGIO 110G ;170;651,3;22,92;149,31;
F;12116;QUEIJADINHA ;169;760,5;60,7;461,64;
F;122300;BALA DE CUPUACU 25G ;169;350,31;32,95;115,42;
T;115686;CONSERVA TARGET MISTA 320G ;169;2.040,31;17,66;360,37;
F;21872;NESCAU C/ LEITE ;168,69;1.045,81;56,11;586,85;
T;122704;SABAO BARRA GUAMA COCO 200G ;168;489,62;27,22;133,28;
T;19933;BALA REGIONAL DE CASTANHA 30G ;168;336;10,36;34,8;
F;110598;REFRI HYDRO LIMAO ZERO 250ML ;167;329,93;36,79;121,37;
F;12016;PAO DE FORMA BODEGA DO PAO ;167;1.501,33;33,26;499,33;
F;109167;DETERG LIQ YPE COCO 500ML ;167;470,73;31,3;147,36;
F;100461;TEMP DUBOM PIM DO REINO MOID 25G ;167;380,6;28,85;109,8;
F;106169;FOLHA ALUM WYDA 30X4MT ;167;704,33;27,87;196,28;
F;105895;REFRI ANTARCTICA SODA 2L ;167;1.167,33;20,18;235,55;
F;20496;MR. DIN PACOCA ;166;651,34;30,54;198,93;
F;103735;SABAO BARRA ECONOMICO 1KG ;166;1.633,56;28,52;465,81;
F;121727;COMP LACTEO DOBON 400G ;166;2.737,34;26,64;729,29;
F;14533;QJ PRATO FAT DULEIT 150G ;166;1.829,84;26,16;478,62;
F;116680;BISC BAUDUCCO COOKIES MAXI CHOC 96G ;166;1.131,24;23,39;264,65;
F;22619;MARMITA DE ISOPOR FUNDO ESTRELA UN ;166;5.456,54;22,55;1.230,56;
T;100170;MAC DALLAS ESP SEMO 500G ;166;646,38;19,23;124,31;
F;24412;REFR PO TANG MANGA 18G;166;164,34;16,76;27,54;
F;113911;ENERG RED BULL EDITION FRU TROP LT 250ML ;166;1.337,34;14,46;193,39;
F;12959;DANETTE SOB CHOC AO LEITE UNIT 90G ;165;509,95;31,56;160,94;
F;11255;COCA COLA KS ULTRA 290ML ;165;493,35;28,55;140,85;
F;115511;AMENDOIM DORI PETTIZ PIM 50G ;165;615,35;27,32;168,13;
T;101494;KIBON PALITO CLASSICO TABLITO 95G ;165;1.614,85;26,04;420,56;
F;108645;CHOC NESTLE KIT KAT LEIT 41,5G ;164;602,86;26;156,77;
F;108172;COLORAU DUBOM 400G ;164;746,19;19,3;143,99;
F;12462;PERA DANJOU ;163,03;2.900,00;23,8;690,34;
T;12530;PAPEL TOALHA KITCHEN FD 2UN ;163;974,97;29,31;285,81;
F;12495;PICANHA BOV ;162,96;12.421,07;48,47;6.020,11;
F;106636;AZEITE DE DENDE MARIZA 200ML ;162;970,38;33,53;325,35;
F;100833;AMIDO DE MILHO MAIZENA 200G ;162;898,92;29,01;260,82;
F;101251;IOGURTE FRUT GURT MOR 300G ;162;812,28;25,55;207,54;
F;116712;REFRI GRAPETTE 250ML ;162;241,38;23,27;56,17;
T;101998;COXAS SADIA SCH 1KG ;161;2.624,39;27,74;728,03;
F;112841;SAB ALBANY HID NUT MACADAMIA 85G ;161;378,47;27,55;104,28;
F;24966;DETERG BRILLANO MACA 500ML ;161;298,79;24,74;73,91;
F;123987;FEIJAO DONA DE RAJADO 500G ;161;875,89;19,86;173,98;
T;107916;REFR PO TANG MOR 25G ;161;179,39;19,55;35,07;
F;104958;AGUA OXI ALYNE VOL 40 100ML ;160;366,4;39,74;145,62;
F;101431;VODKA SKARLOFF 965ML ;160;3.286,40;26,61;874,56;
F;22015;BISC RECH BAUN/MOR VISCONTI 125G ;160;378,8;26,43;100,11;
T;21546;CERV CABARE PM LT 350ML ;160;689,6;24,45;168,62;
F;101591;ENERG VULCANO 1L ;160;2.878,40;23,39;673,12;
T;14477;ENERG RED BULL COCO LT 250ML ;160;1.438,40;12,91;185,63;
F;23702;UVA VITORIA KG ;159,89;4.345,69;30,83;1.339,73;
T;22836;BISC AMORI RECH ESCURETO 35,6G ;159;205,11;35,44;72,7;
F;100095;SAL GROSSO LEBRE CHURRASCO 1KG ;159;444,41;28,02;124,52;
F;107356;BISC RECH HILEIA KICKS CHOC 60G ;159;219,91;27,36;60,18;
F;23696;FARINHA MAND UARINI OVINSO GRAOS 1KG ;159;1.624,41;26,59;431,97;
T;111965;REFR PO TANG LAR DOC 25G ;159;195,37;19,53;38,15;
F;22506;SUCO DVALLE FRUT CITRICAS 1L ;159;607,41;9,6;58,29;
F;22888;QJ MUSS REAL KG ;158,42;7.496,16;24,57;1.841,78;
F;14022;PICANHA BOV MATURATA CONG KG;158,02;15.800,61;22,95;3.625,83;
F;10673;MILHO DE PIPOCA DONA DE 500G ;158;747,02;35,68;266,51;
F;24271;QUEIJO MUSS SABORE FATIADO 500G ;158;3.790,42;28,21;1.069,42;
F;22835;BISC AMORI RECH MORANGO 71,2G ;158;355,92;26,76;95,23;
T;21645;SCHWEPPES VDK CITRUS LT 310ML ;157;367,63;45,86;168,58;
T;20374;MR. DIN L. NINHO C/ KIT KAT ;157;762,43;25,65;195,53;
F;14834;LEITE PIRACANJUBA ZERO LAC 1L ;157;1.612,93;16,28;262,65;
F;101753;PEPINO JAPONES KG;156,95;1.165,92;47,88;558,29;
F;13554;SALSICHA CONG REZENDE KG ;156,35;1.751,67;23,9;418,69;
F;121654;PRATO DESC CRISTALCOPO 18CM 10UN ;156;477,75;32,51;155,34;
F;22797;ESPONJA MULT BRILHEX 1UN ;156;154,44;29,08;44,91;
F;100088;FAR TRIG TRIGOLAR C/FERM 1KG ;156;1.137,24;29,06;330,47;
T;22278;BISC CREAM CRACKER VIT TRAD 350G ;156;1.075,94;24,63;265,01;
F;12253;BISCOITO AREIA;155,8;4.205,07;56,33;2.368,62;
F;24870;TROUXINHA DE FRANGO C/QUEIJO ;155;928,45;49,92;463,45;
F;103816;BEB FRUTA FAZENDINHA 2L ;155;2.027,45;28,44;576,62;
F;12484;POLPA DE CUPUACU DE 100G ;155;463,45;27,82;128,95;
F;119213;EXT TOM QUERO TP 130G ;155;241,95;27,63;66,84;
F;119000;IOGURTE FRUT GURT MOR 170G ;155;499,95;23,2;115,99;
T;101644;REFR PO TANG LIMAO 25G ;155;197,79;19,75;39,06;
F;13151;REFRI ORANGE 250ML ;154;229,46;24,45;56,11;
T;112831;REFR PO TANG GOIABA 25G ;154;160,06;16,35;26,18;
F;21879;CAFE PRETO UN ;153,7;502,46;36,75;184,65;
F;21711;BISC TRIUNF RECH MOR 120G ;153;408,47;30,81;125,85;
F;12772;BATATA DOCE BRANCA KG;152,85;1.515,85;29,24;443,22;
F;101752;BETERRABA KG;152,4;1.291,67;32,28;416,96;
F;24093;LA DE ACO ASSOLAN OR C/8UN 45G ;152;329,18;30,89;101,68;
F;107338;BOLINHO BAUDUCCO MOR 40G ;152;310,48;23,9;74,21;
F;25524;PANETTONE GOTAS CHOCO 90G ;151;526,99;66,76;351,83;
F;22842;SALTENHA DE CARNE UN ;151;904,49;39,92;361,04;
F;14818;BISC OREO ORIGINAL 36GR ;151;317,29;31,22;99,05;
F;109052;MAC NISSIN LAMEN TURMA DA MONICA CARNE 85G ;151;340,99;23,14;78,9;
T;25715;MAC ESTRELA ESPAGUETE GOSTOSO 500G ;151;450,87;21,3;96,02;
F;20513;REFRI FLESH LIMAO 2L;151;754,49;17,49;131,99;
F;19089;PRESUNTO COZ S/GORD AURORA KG ;150,78;4.974,11;24,87;1.237,20;
F;120305;SABAO PO OMO LAVAGEM PERF SCH 800G ;150;2.554,50;24,91;636,34;
F;114187;REFRI SUKITA 1L ;150;621,6;16,01;99,55;
F;107290;REFR PO FRISCO TANGERINA 25G ;150;130,97;11,97;15,68;
F;20498;MR. DIN TODYNHO ;149;589,01;33,97;200,08;
F;22475;REFRI UVA TETE 1,5L ;149;594,51;29,83;177,35;
F;108127;BISC RECH OREO ORIGINAL 144G ;149;936,51;28,23;264,39;
F;117833;PAPEL HIG FLORAL NEUTRO L8P7 8RLS ;149;1.247,81;27,67;345,25;
F;22841;MINGAU MUCILON ARROZ SCH 180G ;149;870,71;24,86;216,43;
F;20483;REFRI MAGISTRAL 350ML ;149;296,51;23,31;69,11;
F;10713;BALA DORI REGALIZ GIRAFA YOGURTE 30G ;148;440,23;36,46;160,51;
F;100508;CHOC M&MS AO LEITE POTE 30G ;148;659,22;22,65;149,31;
F;22366;BISC RENATA WAFER LIMAO 115G ;148;368,52;22,57;83,16;
F;103453;DETERG LIQ YPE LIMAO 500ML ;148;428,92;20,39;87,45;
F;104356;BEB FRUTA FAZENDINHA 500ML ;147;733,53;31,66;232,23;
F;16109;GUARANA BUMBA 1,5L ;147;551,53;28,9;159,41;
F;22039;REFRI TETE COLA 1L;147;439,53;27,5;120,89;
F;16914;PAO TRADICIONAL BAUDUCCO 390G ;147;1.488,53;24,21;360,38;
F;24270;DELICE DE PERU SABORE 500G ;146;2.352,54;26,64;626,67;
F;102634;CR DENTAL COLGATE TRIPLA ACAO MENT 180G ;146;1.331,54;24,41;325,02;
F;16915;PAO INTEGRAL BAUDUCCO 390G ;146;1.709,54;22,72;388,43;
F;101693;SUCO CONC JANDAIA GOIABA 500ML ;146;424,2;8,05;34,16;
F;19064;BISC DE MOTOR AGUA E SAL PAPAGUARA 300G ;145;892,05;29,81;265,94;
F;110433;LEITE COND MOCA SEMIDESN TP 395G ;145;1.156,95;21,87;253,04;
T;12892;CHICLETES TRIDENT 18 SPEARMINT 30,6G ;145;678,55;17,75;120,42;
F;23130;FINI TUBES MORANGO CITRICO 27G ;144;286,56;42,21;120,96;
F;12601;PAO DESCASCADO BROTHER`S 430G ;144;2.562,56;27,63;708,14;
F;20964;CHOC CARIBE CANDYBAR 28G ;144;286,56;27,16;77,84;
F;121056;CHOC LACTA FAVORITOS CX SORT 250,6G ;144;1.910,56;25,5;487,19;
F;17215;CHOCO SNICKERS 2 BARRAS 78G ;144;830,16;24,8;205,84;
F;19798;SALG CHEETOS LUA 125G ;144;1.738,56;23,6;410,26;
F;24410;REFR PO TANG MARACUJA 18G;144;141,12;16,71;23,57;
F;20113;ENERG RED BULL PITAYA EDT LT 250ML ;144;1.293,56;13,91;179,94;
T;16164;PICANHA BOV BORDON KG ;143,72;10.637,80;26,29;2.796,69;
F;12498;POLPA DE GOIABA DE 1KG ;143;2.255,57;37,22;839,57;
F;110682;MORTADELA PERDIGAO OURO 200G ;143;1.445,57;29,54;427,04;
F;20163;ACHOC TODDYNHO LEVINHO 200ML ;143;447,97;29,42;131,81;
F;22821;BISC AMORI RECH FLORESTA NEGRA 125G ;143;530,77;27,85;147,83;
F;110873;SABAO LIQ BRINORT CONC SUP CLE GREEN 2L ;143;1.650,57;25,33;418,08;
F;10977;PATINHO BOV KG BIFE ESPECIAL;142,39;6.690,61;34,67;2.319,54;
F;16922;CROISSANT UN ;142;779,58;40,07;312,4;
T;122836;AGUA MIN PURISSIMA 2L ;142;484,58;27,33;132,45;
F;101260;IOGURTE TOYA MORANGO GF 400G ;142;749,08;26,78;200,6;
F;100324;VINAGRE VIRROSAS TINTO 500ML ;142;378,58;24,64;93,28;
T;24397;CERV BRAHMA DUPLO MALTE LONG NECK 330ML ;142;698,18;17,78;124,11;
F;15339;ENERG RED BULL SUMMER MELANCIA 250ML ;142;1.275,58;12,42;158,47;
F;22766;SUCO DAFRUTA LARANJA 1L ;141;925,59;40,52;375,02;
T;13321;PIRULITO DIPLOKO BOOOM MORANGO 11G;141;385,59;32,57;125,59;
F;114398;CHOC NESTLE KIT KAT BCO 41,5G ;141;522,59;24,94;130,35;
F;107178;SALGADINHO CEBOLITOS 60G ;141;985,59;24,4;240,53;
F;124388;AVEIA QUAKER FLOCOS FINOS 165G ;141;771,39;21,56;166,28;
F;107348;BISC RECH HILEIA KICKS MASC NEG 130G ;141;418,59;12,77;53,46;
F;23721;DOCILE GOMOS SORTIDOS 100G ;141;297,99;7,26;21,63;
F;100476;TEMP DUBOM PIM COMI MOID 25G ;140;319;28,71;91,6;
F;19510;REFRI REGENTE 1,5L;140;558,6;27,99;156,37;
T;16835;BISC RENATA RECH MORANGO 112G ;140;295,81;27,57;81,56;
F;101625;BEB FRUTA FAZENDINHA 1L ;140;1.118,60;27,53;307,99;
T;101488;ESKIBON MINI BOMBOM GELADO CLASSICO ;140;2.191,90;27,08;593,67;
F;20571;COMPOSTO LAC PIRACANJUBA OTIMO 400G ;140;1.958,60;24,41;478,01;
F;10712;CHICLETS TUTTI-FRUTTI ;139;34,75;37,37;12,99;
T;120526;REFRI ICE COLA 250ML ;139;207,11;22,5;46,6;
F;101284;FARINHA LACTEA NESTLE SCH 210G ;139;1.110,61;21,76;241,71;
F;100413;TEMP SAZON FGO 60G ;139;620,91;20,67;128,31;
F;107343;BISC RECH BAUDUCCO GOIABA 112G ;139;593,11;15,13;89,73;
F;20719;LING TOSCANA MAGNIFICA KG ;138,9;3.133,76;23,46;735,12;
F;20911;SABAO PO HIPER PLUS COCO 500G ;138;428,02;27,97;119,73;
T;103393;REFRI PLANET COLA 2L ;138;680,12;26,12;177,68;
F;24965;DETERG BRILLANO LIMAO 500ML ;138;260,62;25,88;67,45;
F;116236;SAL GROSSO DI FELICIA 1KG;138;319,62;25,26;80,73;
F;21199;PASTEL DE QUEIJO 70G ;138;688,62;25,07;172,67;
F;101232;BEB LACTEA FAZENDINHA MOR 1L ;137;1.506,63;27,35;412,08;
F;19978;REFRI TAUA AMAZONIA 350 ML ;137;272,63;24,47;66,7;
F;100872;LTE COND MOCA INTEGRAL LT 395G ;137;1.169,93;16,64;194,66;
T;107193;BATATA RUFFLES CEB SALSA 57G ;136;951,64;27,71;263,67;
F;100688;CAFE MARATA 250G ;136;1.222,64;25;305,72;
T;11829;BOLACHA DE MOTOR AGUA&SAL MODELO 400G ;136;1.019,45;20,39;207,87;
F;16156;AGUA SEM GAS TOYA 250ML ;135;174,15;51,01;88,83;
T;13322;PIRULITO DIPLOKO BOOOM UVA 11G;135;362,65;30,53;110,72;
T;18261;BISC RENATA MARIA 360G ;135;706,45;27,92;197,28;
T;100621;CHOC BARRA LACTA DIAMANTE NEGRO 20G ;135;305,15;26,44;80,69;
F;22282;REFRI TETE LARANJA 1,5L ;135;538,65;25,93;139,68;
T;10676;FEIJAO JALO DONA DE 500GR ;135;910,15;25,88;235,55;
T;101623;SUCO PRONTO DEL VALLE KAPO MAR TP 200ML ;135;336,15;20,56;69,1;
F;11275;REFRI FANTA UVA 200ML ;135;275,55;14,21;39,16;
T;25118;CHICLE BLONG BLUE 5G ;134;33,5;34,39;11,52;
F;25561;VALDA TABLETES CHICLE 4G ;134;100,5;30,67;30,82;
F;101736;REFRI MAGISTRAL GOLD 350ML ;134;266,66;13,88;37;
F;22280;TAPIOCA C/ QJO E OVO;133;1.428,67;53,69;767,1;
F;24057;CERV TIGER CRYSTAL SLEEK LT 350ML ;133;464,17;20,44;94,88;
F;21474;ENERG MONSTER ENERGY GREEN LT 269ML ;133;929,67;15,33;142,51;
F;123554;LAMP ARTEK LED BULBO 9W ;132;1.054,68;37,71;397,75;
F;102745;SAB PHEBO ODOR ROSAS 90G ;132;733,48;32,08;235,27;
F;12483;POLPA DE CAJU DE 100G ;132;262,68;31,44;82,59;
F;13447;REFRI REGENTE S/A«UCAR 1,5L;132;526,68;23,84;125,54;
F;123390;SUCO PRONTO NATURAL ONE LAR 900ML ;132;1.971,68;22,78;449,25;
F;110411;REQUEIJAO AURORA 200G ;132;1.218,68;20,44;249,12;
F;102030;AGUA TONICA SANTA CLAUDIA LT 350ML ;131;326,19;34,53;112,63;
F;18994;SACO P/LIXO ECONOMICO 30L C/10UN ;131;456,29;30,57;139,49;
F;112839;SAB ALBANY HOM MULT 85G ;131;315,65;26,54;83,77;
T;11833;BOLACHA DE MOTOR AGUA&SAL MODELO 200G ;131;515,69;26,46;136,45;
F;116517;CERV IMPERIO LAGER LN 275ML ;131;784,69;24,01;188,41;
F;101228;REQUEIJAO NESTLE CRE TRAD 200G ;131;1.509,69;23,43;353,68;
F;18015;BATATA SCRUSCH SAO BRAZ NATURAL 50G ;130;574,2;31,85;182,9;
F;121407;REFRI REAL GOLD 250ML ;130;193,7;29,14;56,45;
F;20201;REFRI TUCHAUA CHAMP PET 2,5L ;130;778,7;28,57;222,47;
F;102038;ABS SEMPRE LIVRE C/ABAS ADAP 8UN ;130;607,7;26,52;161,18;
F;109681;CHOC LACTA BIS OREO EXT BCO 45G ;130;418,7;26,05;109,08;
T;14442;AMAC DOWNY REG AQUA FRESCA 500ML ;130;1.214,30;12,99;157,73;
F;12476;RABADA FRIBOI KG ;129,62;4.090,44;14,22;581,79;
F;20904;REFRI REGENTE 250ML ;129,2;192,51;20,87;40,17;
T;21003;BISC TODDY WAFER CHOC C/MOR 94G ;129;399,71;25,86;103,38;
F;12571;HAMBURGER BOV SADIA 56G ;129;293,91;25,73;75,61;
F;100495;PASTILHA TIC TAC MENTA 16G ;129;321,21;25,13;80,7;
F;103455;DETERG LIQ YPE MACA 500ML ;129;379,41;20,51;77,83;
F;12783;AGUA MIN SANTA CLAUDIA LIQUIDO 20L ;129;1.030,71;17,88;184,27;
T;101509;PIC KIBON MAX FRUT 40ML ;128;701,72;28,43;199,48;
F;111720;BISC RECH HILEIA KICKS MASC NEG 60G ;128;209,02;25,28;52,83;
F;11025;OVO SAO PEDRO VERMELHO C/30;128;3.464,72;19,36;670,82;
F;22816;SABAO PO MINUANO FLORAL 450G ;128;574,72;19,13;109,96;
F;100153;MAC HILEIA CONCHA SEMO 200G ;128;421,72;16,71;70,48;
F;19471;REFRI MAGISTRAL GOLD 1,5L;127;506,73;26,34;133,46;
F;107973;AGUA TONICA YARA LT 350ML ;127;506,73;6,76;34,26;
T;101622;SUCO PRONTO DEL VALLE KAPO LAR TP 200ML ;126;313,74;30,43;95,48;
T;15863;TODDY WAFER CHOCOLATE 94G ;126;429,74;26,94;115,76;
F;102887;COTONETE FLEX TOPZ 75UN ;126;321,24;26,93;86,5;
F;15250;CHOCO TWIX CHOC/CAR 40G ;126;502,74;26,63;133,86;
F;123808;CERV CORONITA EXTRA LN 210ML ;126;628,74;25,97;163,27;
T;22533;CERV BRAHMA LTA 410ML ;126;527,94;11,48;60,61;
F;24823;PANO CHAO DH 72CM X45CM ;125;843,95;30,26;255,42;
F;104853;RACAO PEDIGREE P/CAO ADULTO FGO MOLHO 100G ;125;386,25;29,77;114,98;
T;118893;PASTILHA DISQUETI CHOC 40G ;125;425,75;26,84;114,27;
F;20480;CR DENTAL SORRISO CARVAO 60G ;125;521,15;19,6;102,14;
F;123388;SUCO PRONTO NATURAL ONE UVA/MAC 900ML;125;2.028,75;16,31;330,99;
F;15032;CHOCOLATE FERRERO ROCHER 3 UN 37,5G ;125;655,83;9,17;60,11;
T;23047;FARINHA DAGUA H3LU 1KG ;124;854,26;50,07;427,7;
F;115534;AMENDOIM DORI CHOC 70G ;124;467,46;30,65;143,28;
F;106216;IOGURTE TOYA MORANGO GF 800G ;124;1.225,26;28,07;343,95;
F;21080;BISC AMORI WAFER CHOCOLATE 80G ;124;283,96;23,69;67,28;
F;14121;SUCO NATURAL ONE UVA E MACA 300ML ;124;680,76;10,83;73,71;
F;118138;PITAYA KG ;123,37;2.261,75;24,78;560,41;
F;12258;COXA SOBRECOXA NAT KG;123;1.659,48;53,59;889,28;
T;25642;FARINHA CAICARA UARINI OVA KG;123;1.413,27;26,02;367,77;
F;107180;MANTEIGA TOYA 200G ;123;1.369,27;25,51;349,36;
F;22580;AMENDOIM PETTIZ NAT 120G ;123;868,77;25,38;220,5;
F;101592;ENERG VULCANO 2L ;123;3.383,77;21,64;732,32;
F;104194;SUCO PRONTO VIGOR MAR 200ML ;123;271,77;18,99;51,6;
F;101100;BISC RECH HILEIA KICKS MOR 130G ;123;385,77;18,52;71,46;
F;108144;ENERG RED BULL ENERGY DRINK SUGARFREE LT 250ML ;123;1.105,77;13,91;153,78;
F;15052;TANGERINA IMPORTADA KG ;122,41;2.451,69;27,64;677,58;
F;12233;MINGAU BANANA;122,25;2.797,88;36,21;1.012,99;
F;22345;SABAO PO BRILHANTE CUID TOTAL 400G ;122;974,78;33,31;324,69;
T;12693;PANO DE CHAO 42X66 ;122;795,28;31,23;248,36;
F;20581;CLORO MULT 5 EM 1 ASTRALPOOL1KG ;122;4.374,19;28,52;1.247,40;
T;22567;KIBON MAGNUM CLASSICO 90ML ;122;1.706,78;26,73;456,28;
F;119265;GOMA MASCAR MENTOS SPEARMINT 8,5G ;122;247,28;19,45;48,1;
F;12519;CONTRA FILE KG;121,56;6.656,70;30,14;2.006,39;
T;22837;BISC AMORI RECH CHOC 35,6G ;121;156,09;34,47;53,8;
F;22457;PREST GILLETTE MOVEL VERDE/AZUL UN ;121;609,79;32,75;199,69;
F;106214;IOGURTE TOYA MORANGO GF 170G ;121;349,59;30,05;105,06;
T;100593;CHOC BARRA LACTA DIAMANTE NEGRO 90G ;121;982,79;29,62;291,08;
F;22600;FITA ADES CELTA 45MMX30M ;121;421,89;28,85;121,7;
T;107210;BATATA RUFFLES CHURR 57G ;121;927,79;28,67;266,01;
F;11494;COPO DESC CRISTALCOPO TRANSP C/100 300ML ;121;1.583,79;28,37;449,33;
F;112770;MARGARINA CLAYBOM 250G ;121;555,59;28,21;156,76;
F;116467;IOGURTE NESTLE NINHO 3 SAB BDJ 540G ;121;1.398,79;26,36;368,71;
F;12683;VASSOURA PIACAVA 16 FUROS ;121;1.706,29;26,24;447,79;
F;100903;LEITE DE COCO MENINA VD 200ML ;121;346,99;23,05;79,99;
F;109182;LARANJA BAHIA KG ;120,52;1.615,39;29,48;476,25;
F;109305;COPO NADIR AMERICANO 190ML ;120;298,8;61,96;185,13;
F;101263;COMP LACTEO NATUMILK 120G ;120;448,8;34,94;156,79;
F;22838;BISC AMORI RECH MORANGO 35,6G ;120;154,8;34,76;53,8;
F;109437;MAC NISSIN LAMEN TURMA DA MONICA GALINHA 85G ;120;295,8;30,66;90,69;
F;22768;BARRINHA CHOCOLATE BAUDUCCO 25G ;120;182,6;26,54;48,45;
F;22815;BISC AMORI WAFER ESC BAUNILHA 80G ;120;274,8;26,17;71,92;
F;124344;PAPEL HIG NINO 30MX10CM 4RLS ;120;418,8;25,79;108;
F;21907;SABAO EM PO URCA MAXX 500G ;120;447,3;24,24;108,45;
F;103234;ACETONA ALYNE 100ML ;120;358,8;23,04;82,68;
T;101551;CERV DEVASSA PURO MALTE LT 350ML ;120;450,9;21,95;98,99;
T;20302;BISCOITO CREAM CRACK PAPAGUARA 300G ;120;718,8;21;150,98;
T;101109;BISC RECH RICHESTER ESCURETO 140G ;120;478,8;13,22;63,29;
F;21319;COXA SOBRECOXA BDJ KG;119,98;1.766,08;37,21;657,22;
F;110590;LARANJINHA MAGISTRAL 250ML ;119;218,81;34,5;75,49;
F;10535;BISC TRI TORTINI CHOCOLATE ;119;257,81;29,83;76,91;
T;19743;BISC RECH ESCURETO 80G ;119;296,31;28,11;83,28;
F;23161;DETERG COCO MINUANO 500ML ;119;340,21;27,07;92,1;
F;123850;MARGARINA QUALY CREM C/SAL 250G ;119;879,81;20,62;181,45;
F;15481;AMAC DOWNY REG ADORAVEL 450ML ;119;980,31;10,85;106,37;
F;25216;AGUACRIM C/GAS 350ML ;118;234,82;45,92;107,83;
T;21245;DUCREM CREME 10G;118;57,82;42,94;24,83;
T;16932;PIRULITO DIPLOKO EXPLOSIVE FRAMBOESA 11G;118;331,32;32,64;108,14;
F;21710;BISC  TRIUNF RECH CHOC 120G ;118;336,82;30,76;103,6;
T;19742;BISC AMORI RECH CHOCOLATE 80G ;118;293,82;28,11;82,58;
T;123985;FEIJAO DONA DE PRETO 500G ;118;503,82;23,6;118,9;
T;101345;PIC KIBON FRUTTARE CAJA 60ML ;118;729,42;22,62;164,98;
F;100316;VINAGRE VIRROSAS TINTO 750ML ;118;362,49;19,58;70,98;
F;123659;PERTENCES SUINOS KG;117,98;2.000,00;27,01;540,27;
T;18757;QUEIJO MUSS DULEIT KG ;117,7;7.061,69;18,48;1.305,17;
F;12218;BOLO COCO;117,46;2.550,71;51,09;1.303,10;
F;22813;BISC AMORI WAFER MORANGO 80G ;117;267,93;25,92;69,45;
F;17705;SALGADINHO CEBOLITOS 110G ;117;1.387,83;20,54;285,09;
F;121773;MANTEIGA CABECA DE TOURO PT 500G ;117;4.357,83;18,95;826;
F;100691;CAFE MANAUS 250G ;117;1.039,63;16,11;167,43;
T;102022;CHARQUE RIO MAR 500G ;117;3.337,86;15,55;519,01;
F;101076;BISC RECH RICHESTER AMORI MOR 140G ;117;466,33;13,15;61,33;
F;12477;LINGUA BOV KG;116,81;2.587,41;24,72;639,64;
T;13932;MOEDA SABOR CHOCOLATE ;116;56,84;53,72;30,53;
F;100417;TEMP DUBOM OREGANO 15G ;116;430,84;34,48;148,57;
F;100425;MOLHO TOM POMAROLA TRAD TP 520G ;116;529,34;30,6;161,96;
F;24405;MIST LACTEA CONDENSADA ITALAC 395G ;116;574,14;28,29;162,43;
F;16372;PICOLE PREMIUM CASTANHA E CHOC BELGA TOYA ;116;818,34;24,94;204,11;
F;16365;PRESUNTO COZ SEARA KG ;115,25;3.943,73;30,64;1.208,19;
F;107061;CANETA BIC CRISTAL FINA PTO ;115;208,85;54,11;113,02;
F;10536;BISC TRI TORTINI TRUFA 90G ;115;248,05;29,77;73,85;
F;100226;CARNE BOV EM CONSERVA PALATARE 320G ;115;1.263,85;28,84;364,44;
F;105392;SABAO PO HIPER PLUS ALFA SCH 500G ;115;361,45;26,67;96,38;
T;122287;BATATA PALHA ELMA CHIPS TRAD 70G ;115;812,85;25,14;204,37;
F;20376;MR. DIN L. NINHO C/ NEGRESCO ;115;553,85;22,43;124,2;
F;18914;SUCO LARANJA DE VERDADE 300ML ;115;732,85;21,8;159,73;
F;12827;BISC RECH MOR TODDY 100G ;115;343,85;21,69;74,57;
F;15186;MORTADELA DEF SADIA KG ;114,61;3.026,95;30,94;936,44;
F;25523;PANETTONE 500G ;114;1.138,86;41,24;469,68;
F;15359;UVA VERDE KG ;113,31;3.521,64;26,99;950,58;
F;15362;LINGUICA DE PERNIL APIMENTADA FINA KG ;113,23;4.452,22;17,14;763,03;
T;11342;LIXA DE UNHA MINI ANAMARIA UN ;113;44,07;76,21;33,58;
F;20644;BISC TRI TORTINI MORANGO 90G ;113;243,47;30,66;74,64;
F;124320;BISC AMANT SELMI RENATA COCO 330G ;113;603,79;28,02;169,19;
F;12684;VASSOURA PIACAVA 20 FUROS ;113;1.738,87;27,28;474,36;
F;22582;PASTILHA DISQUETI CHOC 60G ;113;681,87;26,33;179,56;
T;120436;SABAO PO OMO LAVAGEM PERF 400G ;113;989,87;22,64;224,11;
F;119260;GOMA MASCAR MENTOS PURE FRESH 8,5G ;113;255,37;21,16;54,04;
T;14390;DOCE DE LEITE ITAMBE TRAD LT 395G ;113;956,87;17,27;165,21;
F;100222;CONSERVA BERTIN RAMS 340G ;113;1.466,07;16,14;236,64;
F;15361;LINGUICA BOV APIMENTADA FINA KG ;112,67;4.017,92;18,97;762,14;
F;111768;TOUCA DESC SANF UN ;112;110,88;52,73;58,47;
F;22763;SUCO DAFRUTA MARACUJA 1L ;112;729,88;40,67;296,87;
T;10710;PASTILHA DISQUETI CHOC BCO 40G ;112;352,48;30,33;106,92;
F;16812;PREST BARB GILLETTE FEM ROSA UN ;112;502,88;29,47;148,21;
F;14424;REQUEIJAO TRAD POLENGHI 200G ;112;1.200,88;28,24;339,17;
F;119747;RACAO WHISKAS P/GATO ADULTO 1+ CAR SCH 85G ;112;363,38;26,55;96,47;
